ano,sigla_uf,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,percentual_participacao
2024,RR,Pública,,,,,,,,,
2023,RR,Pública,,,,,,,,,
2024,SE,Pública,38.39,38.3,45.9,53.6,61.2,68.3,74.6,80.0,92.84
2023,SE,Pública,31.3,38.3,45.9,53.6,61.2,68.3,74.6,80.0,88.34
2025,SE,Pública,50.0,38.0,46.0,54.0,61.0,68.0,75.0,80.0,87.0
2025,RN,Pública,48.0,44.0,51.0,57.0,64.0,70.0,75.0,80.0,85.0
2025,BA,Pública,55.0,43.0,50.0,57.0,64.0,70.0,75.0,80.0,87.0
2023,BA,Pública,36.8,43.4,50.2,57.1,63.6,69.8,75.2,80.0,84.53
2024,BA,Pública,35.96,43.4,50.2,57.1,63.6,69.8,75.2,80.0,90.04
2024,RN,Pública,39.29,43.8,50.6,57.3,63.8,69.9,75.3,80.0,77.72
2023,RN,Pública,37.24,43.8,50.6,57.3,63.8,69.9,75.3,80.0,78.55
2024,AP,Pública,46.62,47.6,53.8,59.9,65.6,70.9,75.8,80.0,89.14
2023,AP,Pública,41.56,47.6,53.8,59.9,65.6,70.9,75.8,80.0,89.68
2025,AP,Pública,60.0,48.0,54.0,60.0,66.0,71.0,76.0,80.0,88.0
2023,AL,Pública,43.88,49.7,55.5,61.1,66.5,71.5,76.0,80.0,92.36
2023,TO,Pública,43.72,49.5,55.4,61.1,66.5,71.5,76.0,80.0,83.91
2024,AL,Pública,48.63,49.7,55.5,61.1,66.5,71.5,76.0,80.0,93.78
2024,TO,Pública,50.07,49.5,55.4,61.1,66.5,71.5,76.0,80.0,85.15
2025,TO,Pública,61.0,50.0,55.0,61.0,67.0,72.0,76.0,80.0,89.0
2025,AC,Pública,68.0,,57.0,62.0,67.0,72.0,76.0,80.0,82.0
2025,AL,Pública,64.0,50.0,56.0,61.0,67.0,72.0,76.0,80.0,94.0
2025,MS,Pública,66.0,53.0,58.0,63.0,68.0,72.0,76.0,80.0,92.0
2024,AC,Pública,51.38,,56.9,62.2,67.3,72.0,76.2,80.0,80.87
2023,AC,Pública,,,56.9,62.2,67.3,72.0,76.2,80.0,
2025,RR,Pública,57.0,,,62.33,67.36,72.01,76.24,80.0,82.0
2024,MS,Pública,55.87,52.8,58.0,63.1,67.9,72.3,76.4,80.0,90.04
2023,MS,Pública,47.45,52.8,58.0,63.1,67.9,72.3,76.4,80.0,87.95
2023,PA,Pública,48.4,53.6,58.7,63.6,68.2,72.5,76.5,80.0,80.55
2024,PA,Pública,48.2,53.6,58.7,63.6,68.2,72.5,76.5,80.0,83.21
2023,PB,Pública,51.12,55.9,60.5,65.0,69.2,73.2,76.8,80.0,88.22
2024,PB,Pública,55.96,55.9,60.5,65.0,69.2,73.2,76.8,80.0,88.29
2023,SP,Pública,51.91,56.6,61.1,65.4,69.5,73.3,76.8,80.0,88.75
2024,SP,Pública,58.13,56.6,61.1,65.4,69.5,73.3,76.8,80.0,89.12
2023,RJ,Pública,52.13,56.7,61.2,65.5,69.6,73.4,76.9,80.0,81.21
2023,AM,Pública,52.2,56.8,61.3,65.6,69.6,73.4,76.9,80.0,76.14
2024,RJ,Pública,55.25,56.7,61.2,65.5,69.6,73.4,76.9,80.0,83.12
2024,AM,Pública,49.17,56.8,61.3,65.6,69.6,73.4,76.9,80.0,79.49
2024,PI,Pública,59.82,57.0,61.5,65.7,69.7,73.5,76.9,80.0,95.09
2023,PI,Pública,52.48,57.0,61.5,65.7,69.7,73.5,76.9,80.0,93.37
2025,PA,Pública,58.0,54.0,59.0,64.0,68.0,73.0,77.0,80.0,87.0
2025,PB,Pública,71.0,56.0,61.0,65.0,69.0,73.0,77.0,80.0,90.0
2025,RJ,Pública,60.0,57.0,61.0,66.0,70.0,73.0,77.0,80.0,83.0
2025,SP,Pública,61.0,57.0,61.0,65.0,70.0,73.0,77.0,80.0,89.0
2025,AM,Pública,57.0,57.0,61.0,66.0,70.0,73.0,77.0,80.0,86.0
2025,PI,Pública,77.0,57.0,62.0,66.0,70.0,74.0,77.0,80.0,94.0
2025,DF,Pública,65.0,,63.0,67.0,71.0,74.0,77.0,80.0,85.0
2025,MT,Pública,75.0,59.0,63.0,67.0,71.0,74.0,77.0,80.0,94.0
2025,MA,Pública,69.0,60.0,64.0,68.0,71.0,74.0,77.0,80.0,92.0
2023,DF,Pública,,,63.1,67.0,70.6,74.0,77.1,80.0,
2024,DF,Pública,59.13,,63.1,67.0,70.6,74.0,77.1,80.0,79.83
